domain_1	domain_2
PF12780	PF17857
PF18161	PF18161
PF02603	PF07475
PF03226	PF03226
PF00549	PF02222
PF07686	PF18611
PF00073	PF12944
PF01243	PF13883
PF00093	PF00093
PF00344	PF07516
PF00850	PF01028
PF00066	PF06816
PF00993	PF07654
PF00176	PF12137
PF05047	PF14978
PF00072	PF00378
PF03950	PF03950
PF00096	PF05236
PF02136	PF10429
PF00032	PF02529
PF00400	PF01459
PF01042	PF01042
PF00246	PF10468
PF05612	PF05612
PF00024	PF00024
PF05683	PF05683
PF01399	PF09440
PF06962	PF06962
PF00490	PF00514
PF07686	PF11108
PF00240	PF05408
PF04857	PF06613
PF00069	PF13646
PF01598	PF03134
PF00098	PF05236
PF02167	PF10399
PF14587	PF14587
PF05000	PF06883
PF03073	PF03073
PF00417	PF01245
PF00593	PF07715
PF00653	PF00700
PF03894	PF09364
PF09220	PF09220
PF00089	PF02822
PF09957	PF09957
PF00106	PF00400
PF00089	PF02983
PF13877	PF17856
PF00140	PF01029
PF00022	PF06017
PF10588	PF10589
PF00130	PF00621
PF01627	PF02895
PF00531	PF02115
PF00586	PF16904
PF00847	PF02362
PF08393	PF12781
PF12151	PF12151
PF08659	PF13602
PF00019	PF00069
PF10531	PF10531
PF06179	PF10232
PF03308	PF03308
PF13185	PF13185
PF02645	PF02645
PF18594	PF18594
PF01620	PF01620
PF08954	PF08954
PF00008	PF01108
PF00550	PF01154
PF00155	PF02490
PF00248	PF00515
PF00001	PF07361
PF07221	PF07221
PF00097	PF02330
PF00410	PF01658
PF03143	PF03465
PF02839	PF02839
PF00036	PF00080
PF01022	PF01022
PF07942	PF07942
PF00149	PF14008
PF00747	PF00747
PF01472	PF14809
PF12968	PF12968
PF02285	PF02936
PF01652	PF12152
PF10163	PF10163
PF07237	PF07237
PF06427	PF18402
PF01423	PF01798
PF00553	PF00942
PF01434	PF17862
PF09100	PF14930
PF03996	PF03996
PF00258	PF13499
PF05960	PF05960
PF10433	PF14313
PF13714	PF13714
PF00023	PF00097
PF01777	PF03947
PF01466	PF12937
PF05592	PF17389
PF14629	PF17872
PF02401	PF02401
PF03062	PF03062
PF04288	PF17193
PF00509	PF08958
PF08421	PF08484
PF00952	PF00952
PF02274	PF02274
PF08263	PF08263
PF13583	PF16376
PF00200	PF07974
PF04017	PF04017
PF07714	PF08947
PF00034	PF13442
PF00317	PF03477
PF00758	PF07654
PF00137	PF00430
PF08568	PF08568
PF01092	PF01599
PF00932	PF02961
PF01058	PF04432
PF00162	PF00731
PF09371	PF17674
PF12289	PF12289
PF03345	PF05817
PF16413	PF16413
PF17285	PF17286
PF02719	PF02719
PF00022	PF01044
PF16953	PF17177
PF01214	PF02441
PF00405	PF00405
PF02452	PF04014
PF00071	PF12130
PF00890	PF02300
PF00136	PF08408
PF05133	PF05133
PF02517	PF07686
PF04539	PF04563
PF00809	PF02310
PF00293	PF05026
PF07859	PF07859
PF00271	PF00863
PF01381	PF01381
PF13895	PF13927
PF02655	PF18419
PF09115	PF09115
PF10224	PF10224
PF14131	PF14131
PF13535	PF18130
PF17844	PF17844
PF02109	PF04597
PF00271	PF09405
PF00125	PF08243
PF00020	PF16758
PF00924	PF05552
PF00959	PF03505
PF00312	PF00333
PF18596	PF18596
PF16831	PF16831
PF03635	PF12850
PF02254	PF02386
PF01903	PF18069
PF02631	PF02631
PF07686	PF11668
