domain_1	domain_2
PF03871	PF02150
PF00658	PF00658
PF07686	PF02931
PF00076	PF13893
PF00626	PF00025
PF00047	PF00340
PF14554	PF00754
PF00125	PF08512
PF00071	PF00641
PF00572	PF00252
PF00008	PF00008
PF00454	PF00794
PF02773	PF02772
PF00621	PF00618
PF00076	PF00397
PF00079	PF00079
PF00569	PF00569
PF00382	PF08271
PF02344	PF01056
PF00786	PF00069
PF01421	PF17771
PF00757	PF07654
PF17144	PF17144
PF02212	PF00169
PF00628	PF00567
PF00595	PF00621
PF01242	PF01242
PF00319	PF00046
PF00046	PF00069
PF00364	PF02786
PF13405	PF00069
PF00266	PF00266
PF01833	PF01437
PF00008	PF00594
PF00439	PF00096
PF01920	PF00091
PF00229	PF09257
PF01471	PF01471
PF00640	PF00397
PF00071	PF06371
PF00995	PF11416
PF00090	PF00090
PF03727	PF00349
PF02807	PF00651
PF04934	PF10232
PF00270	PF01336
PF03039	PF10420
PF00252	PF00169
PF08082	PF00160
PF00406	PF00179
PF00071	PF16704
PF08084	PF02889
PF00623	PF01191
PF17906	PF17906
PF00995	PF00804
PF00572	PF01196
PF12328	PF01918
PF01058	PF05071
PF00089	PF00014
PF18377	PF18379
PF00406	PF00406
PF00347	PF01777
PF01090	PF01599
PF02728	PF02728
PF07531	PF07531
PF01398	PF00249
PF00069	PF00106
PF00781	PF00781
PF04084	PF09079
PF01702	PF01702
PF00667	PF00667
PF02290	PF02978
PF00122	PF00689
PF08702	PF00147
PF04389	PF04389
PF00621	PF00307
PF00069	PF12202
PF01403	PF17960
PF00162	PF00400
PF05859	PF08202
PF00005	PF12848
PF00076	PF01217
PF10598	PF02731
PF00097	PF00023
PF04667	PF00076
PF12796	PF01833
PF01246	PF01090
PF00025	PF05351
PF00071	PF00514
PF00400	PF05205
PF00092	PF00084
PF07974	PF01839
PF00017	PF00023
PF00571	PF04739
PF01067	PF13833
PF04567	PF04561
PF00397	PF00640
PF00069	PF01111
PF00008	PF00147
PF02969	PF00439
PF02798	PF03372
PF10447	PF01138
PF04561	PF02150
PF16186	PF00071
PF02252	PF10584
PF04716	PF00329
PF07686	PF00955
PF00595	PF00433
PF04566	PF00562
PF00096	PF00651
PF01434	PF06480
PF01347	PF09172
PF00679	PF00009
PF04983	PF01191
PF07686	PF00207
PF02518	PF01751
PF00397	PF01000
PF12436	PF14533
PF02170	PF16488
PF00794	PF00454
PF00856	PF09733
PF05236	PF02291
PF05127	PF08351
PF12134	PF05282
PF01191	PF06870
PF13510	PF07992
PF18100	PF00233
PF00132	PF00071
PF00004	PF06068
PF02221	PF00560
PF01096	PF03870
PF07686	PF00969
PF08644	PF17292
PF03477	PF00268
PF02800	PF00044
PF16486	PF08699
PF07711	PF00432
PF00005	PF00037
PF00012	PF00638
PF00757	PF00041
PF16486	PF02171
PF08638	PF05983
PF02257	PF00249
PF00163	PF00400
PF09294	PF09294
PF00069	PF02866
PF01399	PF09440
PF17799	PF17405
PF00048	PF00048
PF09748	PF05983
PF07162	PF07162
PF14681	PF14681
PF00620	PF00620
PF07147	PF07147
PF00069	PF07679
PF00076	PF00313
PF00628	PF02373
PF03153	PF02751
PF00412	PF00412
PF07347	PF05071
PF10213	PF10236
PF14598	PF08447
PF00168	PF00018
PF12872	PF12872
PF00653	PF00619
PF00014	PF00089
PF00179	PF14324
PF00615	PF00621
PF00341	PF04692
PF10373	PF10373
PF13925	PF13925
PF12230	PF01805
PF01088	PF00227
PF00271	PF00350
PF03985	PF14559
PF13646	PF13646
PF10291	PF10291
PF00562	PF01096
PF02214	PF02214
PF00270	PF03368
PF00074	PF13516
PF15910	PF07686
PF00318	PF00416
PF00992	PF13833
PF09173	PF00009
PF01624	PF05188
PF00025	PF00928
PF01426	PF00628
PF00129	PF00059
PF01090	PF01200
PF00034	PF07992
PF00010	PF00352
PF00097	PF00240
PF00017	PF00001
PF00380	PF00400
PF08558	PF08558
PF00125	PF00271
PF07258	PF07258
PF02874	PF02874
PF01336	PF02938
PF00400	PF04699
PF04096	PF04121
PF02188	PF02188
PF00134	PF00069
PF01017	PF00017
PF00271	PF00687
PF04840	PF00995
PF05118	PF00008
PF01198	PF01015
PF07686	PF00021
PF00515	PF00183
PF01088	PF00443
PF00153	PF02064
PF17791	PF17791
PF12148	PF12148
PF00736	PF10587
PF02985	PF01749
PF01394	PF01394
PF00136	PF00069
PF00641	PF00240
PF01423	PF01398
PF00829	PF01245
PF01102	PF01102
PF09806	PF09806
PF00027	PF00618
PF00339	PF00339
PF00071	PF01025
PF00736	PF00043
PF09735	PF05994
PF00076	PF01044
PF05184	PF05184
PF12796	PF01115
PF00456	PF02780
PF00307	PF00169
PF00125	PF01426
PF01759	PF00084
PF01388	PF02373
PF00787	PF00069
PF00456	PF00456
PF03656	PF03656
PF07686	PF07686
PF01094	PF10613
PF02262	PF02189
PF01248	PF01479
PF15454	PF08923
PF01423	PF00076
PF00515	PF13432
PF00786	PF00018
PF00106	PF00271
PF01248	PF00312
PF18379	PF18377
PF13302	PF13302
PF07541	PF00575
PF16550	PF18031
PF08447	PF00989
PF00827	PF01157
PF00104	PF02159
PF01853	PF07904
PF03167	PF11976
PF02736	PF00069
PF00830	PF01632
PF10232	PF10280
PF09532	PF00271
PF04825	PF02463
PF05700	PF08606
PF04912	PF00022
PF00249	PF03540
PF04678	PF04678
PF08709	PF08709
PF00069	PF05110
PF01841	PF01841
PF02817	PF02852
PF01176	PF01176
PF01751	PF00204
PF01477	PF00151
PF02933	PF05739
PF03947	PF01294
PF00631	PF00001
PF01754	PF00240
PF14598	PF14596
PF01556	PF00069
PF00439	PF01847
PF03947	PF00411
PF03931	PF00888
PF01833	PF00397
PF00069	PF00134
PF02874	PF01466
PF00108	PF02803
PF00018	PF00787
PF01429	PF01429
PF09007	PF17820
PF00439	PF00583
PF00136	PF00136
PF10401	PF10401
PF07714	PF00102
PF00211	PF00069
PF03234	PF03234
PF00096	PF00018
PF00656	PF00653
PF00046	PF00157
PF12678	PF00179
PF05739	PF00787
PF03931	PF07525
PF14670	PF14670
PF00270	PF02826
PF07677	PF17791
PF00156	PF13522
PF00435	PF00435
PF02938	PF01336
PF07686	PF00066
PF00415	PF13540
PF00018	PF00568
PF00521	PF00521
PF00061	PF00576
PF07686	PF01740
PF08771	PF00454
PF00535	PF00652
PF01399	PF10255
PF00817	PF11799
PF08240	PF08477
PF07524	PF05236
PF00254	PF08771
PF04683	PF04683
PF04998	PF01096
PF00069	PF08477
PF02825	PF02825
PF01158	PF03947
PF00091	PF03953
PF00036	PF00106
PF16488	PF16486
PF09279	PF00503
PF01336	PF00270
PF00583	PF00583
PF02801	PF02801
PF00017	PF07653
PF00135	PF08674
PF00089	PF09064
PF00306	PF02874
PF00153	PF00153
PF00022	PF04699
PF00626	PF00626
PF00168	PF00387
PF08083	PF06246
PF00069	PF01749
PF01847	PF17211
PF00778	PF00778
PF00240	PF02809
PF00917	PF00917
PF07679	PF00069
PF01412	PF12796
PF00008	PF00058
PF00400	PF00022
PF00071	PF08477
PF08271	PF00071
PF13640	PF13640
PF00412	PF00069
PF07654	PF00757
PF00008	PF00039
PF03501	PF00069
PF07686	PF14843
PF01839	PF00362
PF12862	PF12859
PF00071	PF11461
PF00620	PF00130
PF01624	PF01336
PF02318	PF00071
PF07654	PF00622
PF00769	PF09379
PF00157	PF00505
PF00071	PF00373
PF03919	PF03919
PF00307	PF00041
PF00433	PF00130
PF00240	PF12937
PF02518	PF01423
PF03727	PF03727
PF00542	PF00542
PF00271	PF02212
PF10018	PF05669
PF14791	PF01834
PF00176	PF01031
PF10585	PF00240
PF01853	PF12998
PF04800	PF01257
PF00069	PF00956
PF00670	PF00670
PF03950	PF03950
PF13927	PF00041
PF00554	PF00023
PF04893	PF03878
PF02518	PF02518
PF01159	PF00181
PF00454	PF00071
PF07992	PF00085
PF02991	PF00899
PF03643	PF00787
PF14604	PF07714
PF00103	PF00103
PF16207	PF16553
PF00177	PF00380
PF00046	PF04812
PF15511	PF12796
PF07714	PF14604
PF00575	PF00271
PF12947	PF07645
PF00373	PF00595
PF04153	PF04065
PF01602	PF00637
PF10589	PF01257
PF12799	PF13855
PF01479	PF00163
PF01462	PF00008
PF02225	PF04253
PF01426	PF12436
PF02518	PF00515
PF12185	PF00179
PF00270	PF00270
PF01299	PF01299
PF13855	PF00092
PF01023	PF01023
PF04992	PF01191
PF08911	PF00514
PF07718	PF01602
PF00324	PF07690
PF03127	PF00240
PF07686	PF00014
PF04153	PF04078
PF02020	PF00076
PF00149	PF00620
PF17791	PF17789
PF00046	PF00010
PF17856	PF13877
PF09045	PF02828
PF00069	PF00560
PF00307	PF00612
PF13414	PF00515
PF04795	PF06068
PF08659	PF08659
PF13177	PF08542
PF00348	PF00348
PF00179	PF00125
PF00069	PF00627
PF17681	PF04130
PF00900	PF08071
PF06068	PF08265
PF01096	PF00562
PF17791	PF07678
PF00318	PF00411
PF16561	PF16561
PF07544	PF05983
PF05971	PF05971
PF13519	PF13519
PF00180	PF01749
PF00362	PF00362
PF00163	PF01282
PF02736	PF00063
PF07474	PF00008
PF00017	PF03623
PF04423	PF04423
PF00125	PF13923
PF00240	PF00069
PF03876	PF04997
PF02167	PF00032
PF06479	PF00069
PF01652	PF00658
PF02762	PF02761
PF04658	PF12157
PF00204	PF00204
PF00400	PF01777
PF05348	PF00227
PF18811	PF00326
PF00047	PF13895
PF02463	PF04824
PF00400	PF02874
PF03946	PF00679
PF02953	PF00153
PF00995	PF05739
PF03834	PF01286
PF00179	PF00400
PF12947	PF07686
PF01423	PF00069
PF00022	PF00022
PF05761	PF05761
PF15750	PF00240
PF02877	PF08063
PF00013	PF00071
PF00659	PF00659
PF00271	PF00570
PF00125	PF00439
PF16207	PF16207
PF00705	PF00004
PF06017	PF00022
PF01412	PF00023
PF01974	PF02778
PF00069	PF00036
PF13638	PF13638
PF00018	PF07714
PF00271	PF00179
PF03725	PF01138
PF13646	PF13499
PF00562	PF01193
PF13306	PF01462
PF08292	PF03874
PF00632	PF00400
PF00258	PF00400
PF01825	PF16489
